county,ward,office,district,total votes,party,candidate,votes
Dane,City Of Madison Ward 133,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 134,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 135,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 136,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 137,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 138,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 139,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 140,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 141,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 142,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 143,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 144,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 145,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Middleton Wards 1 - 4 & 9,"Dane County Circuit Court, Branch 13",,383,Non-Partisan,Stephen Ehlke,72
Dane,"City Of Middleton Wards 5 - 8, 10 - 14","Dane County Circuit Court, Branch 13",,393,Non-Partisan,Stephen Ehlke,63
Dane,City Of Monona Wards 1 - 5,"Dane County Circuit Court, Branch 13",,311,Non-Partisan,Stephen Ehlke,56
Dane,City Of Monona Wards 6 - 10,"Dane County Circuit Court, Branch 13",,229,Non-Partisan,Stephen Ehlke,49
Dane,City Of Stoughton Wards 1 - 3,"Dane County Circuit Court, Branch 13",,140,Non-Partisan,Stephen Ehlke,36
Dane,City Of Stoughton Wards 4 & 5,"Dane County Circuit Court, Branch 13",,138,Non-Partisan,Stephen Ehlke,33
Dane,City Of Stoughton Wards 6 - 8,"Dane County Circuit Court, Branch 13",,97,Non-Partisan,Stephen Ehlke,30
Dane,City Of Stoughton Wards 9 & 10,"Dane County Circuit Court, Branch 13",,111,Non-Partisan,Stephen Ehlke,27
Dane,"City Of Sun Prairie Wards 1 - 4, 18, 19, 22 & 25","Dane County Circuit Court, Branch 13",,271,Non-Partisan,Stephen Ehlke,72
Dane,"City Of Sun Prairie Wards 5 - 9, 21, 23, 26 - 28","Dane County Circuit Court, Branch 13",,204,Non-Partisan,Stephen Ehlke,49
Dane,"City Of Sun Prairie Wards 10 - 13, 20, 29, 30, 32 & 33","Dane County Circuit Court, Branch 13",,159,Non-Partisan,Stephen Ehlke,36
Dane,"City Of Sun Prairie Wards 14 - 17, 24, 31 & 34","Dane County Circuit Court, Branch 13",,201,Non-Partisan,Stephen Ehlke,53
Dane,City Of Verona Wards 1 - 4,"Dane County Circuit Court, Branch 13",,212,Non-Partisan,Stephen Ehlke,46
Dane,City Of Verona Wards 5 - 8,"Dane County Circuit Court, Branch 13",,207,Non-Partisan,Stephen Ehlke,36
Green,Town Of Adams,"Green County Circuit Court, Branch 2",,34,Non-Partisan,Timothy J. Burns,10
Green,Town Of Albany Wards 1 & 2,"Green County Circuit Court, Branch 2",,68,Non-Partisan,Timothy J. Burns,15
Green,Town Of Brooklyn Wards 1 & 2,"Green County Circuit Court, Branch 2",,74,Non-Partisan,Timothy J. Burns,15
Green,Town Of Cadiz,"Green County Circuit Court, Branch 2",,60,Non-Partisan,Timothy J. Burns,19
Green,Town Of Clarno Wards 1 & 2,"Green County Circuit Court, Branch 2",,102,Non-Partisan,Timothy J. Burns,36
Green,Town Of Decatur Wards 1 - 3,"Green County Circuit Court, Branch 2",,80,Non-Partisan,Timothy J. Burns,35
Green,Town Of Exeter Wards 1 & 2,"Green County Circuit Court, Branch 2",,84,Non-Partisan,Timothy J. Burns,10
Green,Town Of Jefferson Wards 1 - 3,"Green County Circuit Court, Branch 2",,173,Non-Partisan,Timothy J. Burns,76
Green,Town Of Jordan,"Green County Circuit Court, Branch 2",,66,Non-Partisan,Timothy J. Burns,32
Green,Town Of Monroe Wards 1 & 2,"Green County Circuit Court, Branch 2",,144,Non-Partisan,Timothy J. Burns,35
Green,Town Of Mount Pleasant Wards 1 & 2,"Green County Circuit Court, Branch 2",,62,Non-Partisan,Timothy J. Burns,12
Green,Town Of New Glarus Wards 1 & 2,"Green County Circuit Court, Branch 2",,164,Non-Partisan,Timothy J. Burns,22
Green,Town Of Spring Grove,"Green County Circuit Court, Branch 2",,55,Non-Partisan,Timothy J. Burns,12
Green,Town Of Sylvester,"Green County Circuit Court, Branch 2",,106,Non-Partisan,Timothy J. Burns,31
Green,Town Of Washington,"Green County Circuit Court, Branch 2",,55,Non-Partisan,Timothy J. Burns,7
Green,Town Of York,"Green County Circuit Court, Branch 2",,49,Non-Partisan,Timothy J. Burns,14
Green,Village Of Albany Wards 1 & 2,"Green County Circuit Court, Branch 2",,60,Non-Partisan,Timothy J. Burns,16
Green,Village Of Belleville Ward 3,"Green County Circuit Court, Branch 2",,8,Non-Partisan,Timothy J. Burns,1
Green,Village Of Brooklyn Ward 2,"Green County Circuit Court, Branch 2",,17,Non-Partisan,Timothy J. Burns,6
Green,Village Of Browntown,"Green County Circuit Court, Branch 2",,30,Non-Partisan,Timothy J. Burns,9
Green,Village Of Monticello Wards 1 & 2,"Green County Circuit Court, Branch 2",,117,Non-Partisan,Timothy J. Burns,26
Green,Village Of New Glarus Wards 1 - 4,"Green County Circuit Court, Branch 2",,433,Non-Partisan,Timothy J. Burns,29
Green,City Of Brodhead Wards 1 - 6,"Green County Circuit Court, Branch 2",,141,Non-Partisan,Timothy J. Burns,59
Green,City Of Monroe Wards 1 - 10,"Green County Circuit Court, Branch 2",,1081,Non-Partisan,Timothy J. Burns,347
Jefferson,Town Of Aztalan Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,193,Non-Partisan,Jennifer L. Weston,116
Jefferson,Town Of Cold Spring Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,37,Non-Partisan,Jennifer L. Weston,28
Jefferson,Town Of Concord Wards 1 - 4,"Jefferson County Circuit Court, Branch 1",,101,Non-Partisan,Jennifer L. Weston,47
Jefferson,Town Of Farmington Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,67,Non-Partisan,Jennifer L. Weston,40
Jefferson,Town Of Hebron Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,50,Non-Partisan,Jennifer L. Weston,27
Jefferson,Town Of Ixonia Wards 1 - 4,"Jefferson County Circuit Court, Branch 1",,160,Non-Partisan,Jennifer L. Weston,58
Jefferson,Town Of Jefferson Wards 1 - 5,"Jefferson County Circuit Court, Branch 1",,182,Non-Partisan,Jennifer L. Weston,105
Jefferson,Town Of Koshkonong Wards 1 - 5,"Jefferson County Circuit Court, Branch 1",,137,Non-Partisan,Jennifer L. Weston,94
Jefferson,Town Of Lake Mills Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,110,Non-Partisan,Jennifer L. Weston,67
Jefferson,Town Of Milford Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,50,Non-Partisan,Jennifer L. Weston,25
Jefferson,Town Of Oakland Wards 1 - 4,"Jefferson County Circuit Court, Branch 1",,119,Non-Partisan,Jennifer L. Weston,61
Jefferson,Town Of Palmyra Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,57,Non-Partisan,Jennifer L. Weston,28
Jefferson,Town Of Sullivan Wards 1 - 3,"Jefferson County Circuit Court, Branch 1",,73,Non-Partisan,Jennifer L. Weston,41
Jefferson,Town Of Sumner,"Jefferson County Circuit Court, Branch 1",,150,Non-Partisan,Jennifer L. Weston,74
Jefferson,Town Of Waterloo,"Jefferson County Circuit Court, Branch 1",,53,Non-Partisan,Jennifer L. Weston,32
Jefferson,Town Of Watertown Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,119,Non-Partisan,Jennifer L. Weston,54
Jefferson,Village Of Cambridge Ward 1,"Jefferson County Circuit Court, Branch 1",,2,Non-Partisan,Jennifer L. Weston,0
Jefferson,Village Of Johnson Creek Wards 1 - 4,"Jefferson County Circuit Court, Branch 1",,259,Non-Partisan,Jennifer L. Weston,88
Jefferson,Village Of Lac La Belle Ward 2,"Jefferson County Circuit Court, Branch 1",,0,Non-Partisan,Jennifer L. Weston,0
Jefferson,Village Of Palmyra Wards 1 & 2,"Jefferson County Circuit Court, Branch 1",,51,Non-Partisan,Jennifer L. Weston,36
Jefferson,Village Of Sullivan,"Jefferson County Circuit Court, Branch 1",,42,Non-Partisan,Jennifer L. Weston,18
Jefferson,City Of Fort Atkinson Wards 1 - 9,"Jefferson County Circuit Court, Branch 1",,511,Non-Partisan,Jennifer L. Weston,367
Jefferson,City Of Jefferson Wards 1 - 9,"Jefferson County Circuit Court, Branch 1",,385,Non-Partisan,Jennifer L. Weston,233
Jefferson,City Of Lake Mills Wards 1 - 4,"Jefferson County Circuit Court, Branch 1",,268,Non-Partisan,Jennifer L. Weston,160
Jefferson,City Of Waterloo Wards 1 - 5,"Jefferson County Circuit Court, Branch 1",,129,Non-Partisan,Jennifer L. Weston,55
Jefferson,"City Of Watertown Wards 8, 20 & 21","Jefferson County Circuit Court, Branch 1",,23,Non-Partisan,Jennifer L. Weston,5
Jefferson,City Of Watertown Wards 9 & 10,"Jefferson County Circuit Court, Branch 1",,94,Non-Partisan,Jennifer L. Weston,45
Jefferson,City Of Watertown Wards 11 & 12,"Jefferson County Circuit Court, Branch 1",,74,Non-Partisan,Jennifer L. Weston,33
Jefferson,City Of Watertown Wards 13 & 14,"Jefferson County Circuit Court, Branch 1",,128,Non-Partisan,Jennifer L. Weston,61
Jefferson,"City Of Watertown Wards 15, 16 & 19","Jefferson County Circuit Court, Branch 1",,182,Non-Partisan,Jennifer L. Weston,75
Jefferson,City Of Watertown Wards 17 & 18,"Jefferson County Circuit Court, Branch 1",,142,Non-Partisan,Jennifer L. Weston,59
Jefferson,"City Of Whitewater Wards 9 - 11, 14, 15, 20 - 22","Jefferson County Circuit Court, Branch 1",,33,Non-Partisan,Jennifer L. Weston,23
Kenosha,Town Of Brighton Wards 1 - 3,"Kenosha County Circuit Court, Branch 8",,112,Non-Partisan,Chad G. Kerkman,67
Kenosha,Town Of Bristol Wards 1 - 4 & 8,"Kenosha County Circuit Court, Branch 8",,159,Non-Partisan,Chad G. Kerkman,85
Kenosha,Town Of Bristol Wards 5 - 7,"Kenosha County Circuit Court, Branch 8",,87,Non-Partisan,Chad G. Kerkman,47
Kenosha,Town Of Paris Wards 1 & 2,"Kenosha County Circuit Court, Branch 8",,124,Non-Partisan,Chad G. Kerkman,69
Kenosha,Town Of Randall Wards 1 - 5,"Kenosha County Circuit Court, Branch 8",,399,Non-Partisan,Chad G. Kerkman,266
Kenosha,"Town Of Salem Wards 1 - 3, 5 - 7, 11 - 15","Kenosha County Circuit Court, Branch 8",,746,Non-Partisan,Chad G. Kerkman,391
Kenosha,"Town Of Salem Wards 4, 8 - 10","Kenosha County Circuit Court, Branch 8",,127,Non-Partisan,Chad G. Kerkman,86
Kenosha,Town Of Somers Wards 1 - 4,"Kenosha County Circuit Court, Branch 8",,230,Non-Partisan,Chad G. Kerkman,55
Kenosha,"Town Of Somers Wards 5, 6 & 12","Kenosha County Circuit Court, Branch 8",,185,Non-Partisan,Chad G. Kerkman,31
Kenosha,Town Of Somers Wards 7 & 8,"Kenosha County Circuit Court, Branch 8",,100,Non-Partisan,Chad G. Kerkman,13
Kenosha,Town Of Somers Wards 9 - 11,"Kenosha County Circuit Court, Branch 8",,146,Non-Partisan,Chad G. Kerkman,47
Kenosha,Town Of Wheatland Wards 1 - 5,"Kenosha County Circuit Court, Branch 8",,240,Non-Partisan,Chad G. Kerkman,156
Kenosha,Village Of Genoa City Wards 4 & 5,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,Village Of Paddock Lake Wards 1 - 5,"Kenosha County Circuit Court, Branch 8",,456,Non-Partisan,Chad G. Kerkman,261
Kenosha,Village Of Pleasant Prairie Wards 1 - 3,"Kenosha County Circuit Court, Branch 8",,272,Non-Partisan,Chad G. Kerkman,30
Kenosha,Village Of Pleasant Prairie Wards 4 & 5,"Kenosha County Circuit Court, Branch 8",,131,Non-Partisan,Chad G. Kerkman,23
Kenosha,Village Of Pleasant Prairie Wards 6 & 7,"Kenosha County Circuit Court, Branch 8",,351,Non-Partisan,Chad G. Kerkman,48
Kenosha,Village Of Pleasant Prairie Wards 8 - 11,"Kenosha County Circuit Court, Branch 8",,379,Non-Partisan,Chad G. Kerkman,72
Kenosha,Village Of Pleasant Prairie Wards 12 & 13,"Kenosha County Circuit Court, Branch 8",,253,Non-Partisan,Chad G. Kerkman,34
Kenosha,Village Of Silver Lake Wards 1 - 3,"Kenosha County Circuit Court, Branch 8",,143,Non-Partisan,Chad G. Kerkman,92
Kenosha,Village Of Twin Lakes Wards 1 - 12,"Kenosha County Circuit Court, Branch 8",,239,Non-Partisan,Chad G. Kerkman,170
Kenosha,City Of Kenosha Ward 1,"Kenosha County Circuit Court, Branch 8",,133,Non-Partisan,Chad G. Kerkman,23
Kenosha,City Of Kenosha Ward 2,"Kenosha County Circuit Court, Branch 8",,140,Non-Partisan,Chad G. Kerkman,21
Kenosha,City Of Kenosha Ward 3,"Kenosha County Circuit Court, Branch 8",,131,Non-Partisan,Chad G. Kerkman,28
Kenosha,City Of Kenosha Ward 4,"Kenosha County Circuit Court, Branch 8",,216,Non-Partisan,Chad G. Kerkman,31
Kenosha,City Of Kenosha Ward 5,"Kenosha County Circuit Court, Branch 8",,390,Non-Partisan,Chad G. Kerkman,32
Kenosha,City Of Kenosha Ward 6,"Kenosha County Circuit Court, Branch 8",,132,Non-Partisan,Chad G. Kerkman,23
Kenosha,City Of Kenosha Ward 7,"Kenosha County Circuit Court, Branch 8",,252,Non-Partisan,Chad G. Kerkman,50
Kenosha,City Of Kenosha Ward 8,"Kenosha County Circuit Court, Branch 8",,184,Non-Partisan,Chad G. Kerkman,27
Kenosha,City Of Kenosha Ward 9,"Kenosha County Circuit Court, Branch 8",,352,Non-Partisan,Chad G. Kerkman,62
Kenosha,City Of Kenosha Ward 10,"Kenosha County Circuit Court, Branch 8",,212,Non-Partisan,Chad G. Kerkman,35
Kenosha,City Of Kenosha Ward 11,"Kenosha County Circuit Court, Branch 8",,190,Non-Partisan,Chad G. Kerkman,29
Kenosha,City Of Kenosha Ward 12,"Kenosha County Circuit Court, Branch 8",,124,Non-Partisan,Chad G. Kerkman,19
Kenosha,City Of Kenosha Ward 13,"Kenosha County Circuit Court, Branch 8",,63,Non-Partisan,Chad G. Kerkman,4
Kenosha,City Of Kenosha Ward 14,"Kenosha County Circuit Court, Branch 8",,37,Non-Partisan,Chad G. Kerkman,6
Kenosha,City Of Kenosha Ward 15,"Kenosha County Circuit Court, Branch 8",,58,Non-Partisan,Chad G. Kerkman,16
Kenosha,City Of Kenosha Ward 16,"Kenosha County Circuit Court, Branch 8",,59,Non-Partisan,Chad G. Kerkman,7
Kenosha,City Of Kenosha Ward 17,"Kenosha County Circuit Court, Branch 8",,181,Non-Partisan,Chad G. Kerkman,30
Kenosha,City Of Kenosha Ward 18,"Kenosha County Circuit Court, Branch 8",,102,Non-Partisan,Chad G. Kerkman,18
Kenosha,City Of Kenosha Ward 19,"Kenosha County Circuit Court, Branch 8",,76,Non-Partisan,Chad G. Kerkman,10
Kenosha,City Of Kenosha Ward 20,"Kenosha County Circuit Court, Branch 8",,52,Non-Partisan,Chad G. Kerkman,7
Kenosha,City Of Kenosha Ward 21,"Kenosha County Circuit Court, Branch 8",,147,Non-Partisan,Chad G. Kerkman,28
Kenosha,City Of Kenosha Ward 22,"Kenosha County Circuit Court, Branch 8",,74,Non-Partisan,Chad G. Kerkman,13
Kenosha,City Of Kenosha Ward 23,"Kenosha County Circuit Court, Branch 8",,66,Non-Partisan,Chad G. Kerkman,12
Kenosha,City Of Kenosha Ward 24,"Kenosha County Circuit Court, Branch 8",,142,Non-Partisan,Chad G. Kerkman,18
Kenosha,City Of Kenosha Ward 25,"Kenosha County Circuit Court, Branch 8",,271,Non-Partisan,Chad G. Kerkman,39
Kenosha,City Of Kenosha Ward 26,"Kenosha County Circuit Court, Branch 8",,252,Non-Partisan,Chad G. Kerkman,36
Kenosha,City Of Kenosha Ward 27,"Kenosha County Circuit Court, Branch 8",,296,Non-Partisan,Chad G. Kerkman,46
Kenosha,City Of Kenosha Ward 28,"Kenosha County Circuit Court, Branch 8",,294,Non-Partisan,Chad G. Kerkman,36
Kenosha,City Of Kenosha Ward 29,"Kenosha County Circuit Court, Branch 8",,326,Non-Partisan,Chad G. Kerkman,71
Kenosha,City Of Kenosha Ward 30,"Kenosha County Circuit Court, Branch 8",,177,Non-Partisan,Chad G. Kerkman,24
Kenosha,City Of Kenosha Ward 31,"Kenosha County Circuit Court, Branch 8",,147,Non-Partisan,Chad G. Kerkman,33
Kenosha,City Of Kenosha Ward 32,"Kenosha County Circuit Court, Branch 8",,121,Non-Partisan,Chad G. Kerkman,24
Kenosha,City Of Kenosha Ward 33,"Kenosha County Circuit Court, Branch 8",,84,Non-Partisan,Chad G. Kerkman,8
Kenosha,City Of Kenosha Ward 34,"Kenosha County Circuit Court, Branch 8",,110,Non-Partisan,Chad G. Kerkman,32
Kenosha,City Of Kenosha Ward 35,"Kenosha County Circuit Court, Branch 8",,11,Non-Partisan,Chad G. Kerkman,5
Kenosha,City Of Kenosha Ward 36,"Kenosha County Circuit Court, Branch 8",,9,Non-Partisan,Chad G. Kerkman,5
Kenosha,City Of Kenosha Ward 37,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 38,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 39,"Kenosha County Circuit Court, Branch 8",,8,Non-Partisan,Chad G. Kerkman,3
Kenosha,City Of Kenosha Ward 40,"Kenosha County Circuit Court, Branch 8",,1,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 41,"Kenosha County Circuit Court, Branch 8",,25,Non-Partisan,Chad G. Kerkman,6
Kenosha,City Of Kenosha Ward 42,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 43,"Kenosha County Circuit Court, Branch 8",,4,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 44,"Kenosha County Circuit Court, Branch 8",,1,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 45,"Kenosha County Circuit Court, Branch 8",,11,Non-Partisan,Chad G. Kerkman,1
Kenosha,City Of Kenosha Ward 46,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 47,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 48,"Kenosha County Circuit Court, Branch 8",,2,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 49,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 50,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 51,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 52,"Kenosha County Circuit Court, Branch 8",,11,Non-Partisan,Chad G. Kerkman,4
Kenosha,City Of Kenosha Ward 53,"Kenosha County Circuit Court, Branch 8",,11,Non-Partisan,Chad G. Kerkman,2
Kenosha,City Of Kenosha Ward 54,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 55,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 56,"Kenosha County Circuit Court, Branch 8",,11,Non-Partisan,Chad G. Kerkman,1
Kenosha,City Of Kenosha Ward 57,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 58,"Kenosha County Circuit Court, Branch 8",,1,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 59,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 60,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 61,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 62,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 63,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 64,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 65,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 66,"Kenosha County Circuit Court, Branch 8",,2,Non-Partisan,Chad G. Kerkman,1
Kenosha,City Of Kenosha Ward 67,"Kenosha County Circuit Court, Branch 8",,11,Non-Partisan,Chad G. Kerkman,2
Kenosha,City Of Kenosha Ward 68,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 69,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 70,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 72,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Kenosha,City Of Kenosha Ward 73,"Kenosha County Circuit Court, Branch 8",,0,Non-Partisan,Chad G. Kerkman,0
Marathon,Town Of Bergen,"Marathon County Circuit Court, Branch 1",,42,Non-Partisan,Douglas Bauman,1
Marathon,Town Of Berlin,"Marathon County Circuit Court, Branch 1",,49,Non-Partisan,Douglas Bauman,8
Marathon,Town Of Bern,"Marathon County Circuit Court, Branch 1",,27,Non-Partisan,Douglas Bauman,2
